id,label,length,hashtags,mentions,urls,upper_ratio,word_count,avg_word_length,digit_count,punctuation_count,pvi,suspicious,confidence,explanation,risk_level
731166399389962242,unverified,76,2,1,0,0.0394736842105263,10,6.7,4,0,0.3,False,0.12016475649883926,,Low
714598641827246081,unverified,92,0,1,0,0.0326086956521739,13,6.153846153846154,0,0,0.0769230769230769,False,0.10677872725209901,,Low
691809004356501505,non-rumor,93,0,1,0,0.064516129032258,16,4.875,0,0,0.0625,False,0.08212400547620165,,Low
693204708933160960,non-rumor,100,0,0,0,0.06,16,5.3125,0,1,0.0,False,0.04045236075716083,,Low
551099691702956032,true,98,1,0,0,0.0306122448979591,16,5.1875,0,1,0.0625,False,0.055635709320176786,,Low
767223774072676354,non-rumor,95,0,0,0,0.0631578947368421,18,4.333333333333333,3,2,0.0,False,0.07013507035111481,,Low
715515982584881152,unverified,77,0,0,0,0.0779220779220779,16,3.875,2,0,0.0,False,0.057716969752431214,,Low
514106273852174337,true,88,0,0,0,0.0681818181818181,15,4.933333333333334,0,0,0.0,False,0.018883073111480953,,Low
500319801344929795,unverified,77,1,1,0,0.0779220779220779,13,5.0,0,1,0.1538461538461538,False,0.07343391481251546,,Low
495366618818830336,false,67,1,0,0,0.0,11,5.181818181818182,0,2,0.0909090909090909,False,0.11307458573336159,,Low
532206910796468224,false,81,0,0,0,0.074074074074074,13,5.3076923076923075,0,0,0.0,False,0.010389924310765047,,Low
560187970389819392,false,89,1,1,0,0.0674157303370786,14,5.428571428571429,1,0,0.1428571428571428,False,0.05514838937324503,,Low
531568534066057217,false,95,0,1,0,0.031578947368421,13,6.384615384615385,0,2,0.0769230769230769,False,0.10367458238995754,,Low
489829414704648192,false,101,1,0,0,0.0594059405940594,8,11.75,4,2,0.125,True,0.32096576762691853,"avg_word_length, digit_count, pvi",Medium
524925730053181440,unverified,140,1,0,0,0.0,22,5.409090909090909,0,3,0.0454545454545454,False,0.07782240308469333,,Low
766989078294306816,non-rumor,90,0,0,0,0.0666666666666666,14,5.5,0,0,0.0,False,0.023660796155044687,,Low
499530130487017472,unverified,118,1,0,0,0.0254237288135593,21,4.666666666666667,0,1,0.0476190476190476,False,0.04184268328724699,,Low
520284654755381249,false,70,0,0,0,0.0428571428571428,13,4.461538461538462,0,1,0.0,False,0.025696274233651253,,Low
767515401831997440,non-rumor,98,1,0,0,0.0612244897959183,16,5.1875,4,1,0.0625,False,0.09676273314974998,,Low
565999191982616577,true,121,1,0,0,0.024793388429752,22,4.545454545454546,0,0,0.0454545454545454,False,0.07020391007862045,,Low
554343513887105024,false,116,0,0,0,0.0258620689655172,18,5.5,2,0,0.0,False,0.05612462467542598,,Low
767715489485205505,non-rumor,92,0,0,0,0.0652173913043478,15,5.2,3,1,0.0,False,0.05029028955516308,,Low
553467311261503488,unverified,113,0,0,0,0.0,22,4.181818181818182,1,0,0.0,False,0.07067983823894622,,Low
553960736964476928,false,113,1,0,0,0.0265486725663716,16,6.125,0,3,0.0625,False,0.07346494475939609,,Low
500303431928922113,unverified,140,1,0,0,0.0,18,6.833333333333333,0,2,0.0555555555555555,False,0.10956172099783823,,Low
538900739880665088,unverified,102,0,0,0,0.0588235294117647,19,4.421052631578948,2,0,0.0,False,0.07294870045208975,,Low
516420964834611201,unverified,90,3,0,0,0.0333333333333333,12,6.583333333333333,0,2,0.25,False,0.12330081467293069,,Low
80080680482123777,false,59,0,0,0,0.0508474576271186,10,5.0,0,1,0.0,False,0.03293068900936102,,Low
687945926774800385,non-rumor,116,0,0,0,0.0258620689655172,22,4.318181818181818,0,1,0.0,False,0.044089057229018506,,Low
436089462326849536,false,65,0,0,0,0.0461538461538461,11,5.0,0,0,0.0,False,0.028360453721184318,,Low
568589712644026368,false,64,1,0,0,0.046875,8,7.125,0,2,0.125,False,0.13110187084716673,,Low
767360696761905153,non-rumor,100,2,1,0,0.03,16,5.3125,0,1,0.1875,False,0.03952732884783173,,Low
407231591191035904,true,43,0,0,0,0.0,8,4.5,0,3,0.0,False,0.13935592607001157,,Low
505369323922522113,false,35,0,0,0,0.0857142857142857,8,3.5,2,0,0.0,False,0.11774681857132696,,Low
576513463738109954,unverified,79,0,0,0,0.0759493670886076,16,4.0,0,0,0.0,False,0.045593973000488286,,Low
689214940679409664,non-rumor,46,1,0,0,0.0,8,4.875,2,0,0.125,False,0.1434939354380595,,Low
522782267215982592,unverified,121,1,1,0,0.024793388429752,18,5.777777777777778,0,0,0.1111111111111111,False,0.08452081675237191,,Low
387233034350514176,false,136,1,0,0,0.0,26,4.269230769230769,0,3,0.0384615384615384,False,0.10116071968277812,,Low
693554344298467328,non-rumor,56,0,0,0,0.1071428571428571,12,3.75,0,0,0.0,False,0.07939982203552289,,Low
706665777332621314,unverified,116,1,1,0,0.0,16,6.3125,4,3,0.125,False,0.12226690084765915,,Low
531530591427391488,unverified,56,0,0,0,0.0535714285714285,9,5.333333333333333,0,0,0.0,False,0.04884336213206744,,Low
532199717594497024,false,64,0,0,0,0.09375,12,4.416666666666667,2,0,0.0,False,0.04665809801824792,,Low
503498696273965056,unverified,106,0,0,0,0.0283018867924528,19,4.631578947368421,3,3,0.0,False,0.043830110894279115,,Low
