id,label,length,hashtags,mentions,urls,upper_ratio,word_count,avg_word_length,digit_count,punctuation_count,pvi,suspicious,confidence,explanation,risk_level,dbscan_suspicious,hybrid_suspicious
731166399389962242,unverified,76,2,1,0,0.0394736842105263,10,6.7,4,0,0.3,False,0.1201647564988392,,Low,True,True
714598641827246081,unverified,92,0,1,0,0.0326086956521739,13,6.153846153846154,0,0,0.0769230769230769,False,0.106778727252099,,Low,False,False
691809004356501505,non-rumor,93,0,1,0,0.064516129032258,16,4.875,0,0,0.0625,False,0.0821240054762016,,Low,False,False
693204708933160960,non-rumor,100,0,0,0,0.06,16,5.3125,0,1,0.0,False,0.0404523607571608,,Low,False,False
551099691702956032,true,98,1,0,0,0.0306122448979591,16,5.1875,0,1,0.0625,False,0.0556357093201767,,Low,False,False
767223774072676354,non-rumor,95,0,0,0,0.0631578947368421,18,4.333333333333333,3,2,0.0,False,0.0701350703511148,,Low,False,False
715515982584881152,unverified,77,0,0,0,0.0779220779220779,16,3.875,2,0,0.0,False,0.0577169697524312,,Low,False,False
514106273852174337,true,88,0,0,0,0.0681818181818181,15,4.933333333333334,0,0,0.0,False,0.0188830731114809,,Low,False,False
500319801344929795,unverified,77,1,1,0,0.0779220779220779,13,5.0,0,1,0.1538461538461538,False,0.0734339148125154,,Low,False,False
495366618818830336,false,67,1,0,0,0.0,11,5.181818181818182,0,2,0.0909090909090909,False,0.1130745857333615,,Low,False,False
532206910796468224,false,81,0,0,0,0.074074074074074,13,5.3076923076923075,0,0,0.0,False,0.010389924310765,,Low,False,False
560187970389819392,false,89,1,1,0,0.0674157303370786,14,5.428571428571429,1,0,0.1428571428571428,False,0.055148389373245,,Low,False,False
531568534066057217,false,95,0,1,0,0.031578947368421,13,6.384615384615385,0,2,0.0769230769230769,False,0.1036745823899575,,Low,False,False
489829414704648192,false,101,1,0,0,0.0594059405940594,8,11.75,4,2,0.125,True,0.3209657676269185,"avg_word_length, digit_count, pvi",Medium,True,True
524925730053181440,unverified,140,1,0,0,0.0,22,5.409090909090909,0,3,0.0454545454545454,False,0.0778224030846933,,Low,False,False
766989078294306816,non-rumor,90,0,0,0,0.0666666666666666,14,5.5,0,0,0.0,False,0.0236607961550446,,Low,False,False
499530130487017472,unverified,118,1,0,0,0.0254237288135593,21,4.666666666666667,0,1,0.0476190476190476,False,0.0418426832872469,,Low,False,False
520284654755381249,false,70,0,0,0,0.0428571428571428,13,4.461538461538462,0,1,0.0,False,0.0256962742336512,,Low,False,False
767515401831997440,non-rumor,98,1,0,0,0.0612244897959183,16,5.1875,4,1,0.0625,False,0.0967627331497499,,Low,False,False
565999191982616577,true,121,1,0,0,0.024793388429752,22,4.545454545454546,0,0,0.0454545454545454,False,0.0702039100786204,,Low,False,False
554343513887105024,false,116,0,0,0,0.0258620689655172,18,5.5,2,0,0.0,False,0.0561246246754259,,Low,False,False
767715489485205505,non-rumor,92,0,0,0,0.0652173913043478,15,5.2,3,1,0.0,False,0.050290289555163,,Low,False,False
553467311261503488,unverified,113,0,0,0,0.0,22,4.181818181818182,1,0,0.0,False,0.0706798382389462,,Low,False,False
553960736964476928,false,113,1,0,0,0.0265486725663716,16,6.125,0,3,0.0625,False,0.073464944759396,,Low,False,False
500303431928922113,unverified,140,1,0,0,0.0,18,6.833333333333333,0,2,0.0555555555555555,False,0.1095617209978382,,Low,False,False
538900739880665088,unverified,102,0,0,0,0.0588235294117647,19,4.421052631578948,2,0,0.0,False,0.0729487004520897,,Low,False,False
516420964834611201,unverified,90,3,0,0,0.0333333333333333,12,6.583333333333333,0,2,0.25,False,0.1233008146729306,,Low,True,True
80080680482123777,false,59,0,0,0,0.0508474576271186,10,5.0,0,1,0.0,False,0.032930689009361,,Low,False,False
687945926774800385,non-rumor,116,0,0,0,0.0258620689655172,22,4.318181818181818,0,1,0.0,False,0.0440890572290185,,Low,False,False
436089462326849536,false,65,0,0,0,0.0461538461538461,11,5.0,0,0,0.0,False,0.0283604537211843,,Low,False,False
568589712644026368,false,64,1,0,0,0.046875,8,7.125,0,2,0.125,False,0.1311018708471667,,Low,False,False
767360696761905153,non-rumor,100,2,1,0,0.03,16,5.3125,0,1,0.1875,False,0.0395273288478317,,Low,False,False
407231591191035904,true,43,0,0,0,0.0,8,4.5,0,3,0.0,False,0.1393559260700115,,Low,False,False
505369323922522113,false,35,0,0,0,0.0857142857142857,8,3.5,2,0,0.0,False,0.1177468185713269,,Low,False,False
576513463738109954,unverified,79,0,0,0,0.0759493670886076,16,4.0,0,0,0.0,False,0.0455939730004882,,Low,False,False
689214940679409664,non-rumor,46,1,0,0,0.0,8,4.875,2,0,0.125,False,0.1434939354380595,,Low,True,True
522782267215982592,unverified,121,1,1,0,0.024793388429752,18,5.777777777777778,0,0,0.1111111111111111,False,0.0845208167523719,,Low,False,False
387233034350514176,false,136,1,0,0,0.0,26,4.269230769230769,0,3,0.0384615384615384,False,0.1011607196827781,,Low,False,False
693554344298467328,non-rumor,56,0,0,0,0.1071428571428571,12,3.75,0,0,0.0,False,0.0793998220355228,,Low,False,False
706665777332621314,unverified,116,1,1,0,0.0,16,6.3125,4,3,0.125,False,0.1222669008476591,,Low,True,True
531530591427391488,unverified,56,0,0,0,0.0535714285714285,9,5.333333333333333,0,0,0.0,False,0.0488433621320674,,Low,False,False
532199717594497024,false,64,0,0,0,0.09375,12,4.416666666666667,2,0,0.0,False,0.0466580980182479,,Low,False,False
503498696273965056,unverified,106,0,0,0,0.0283018867924528,19,4.631578947368421,3,3,0.0,False,0.0438301108942791,,Low,False,False
553184482241814530,unverified,112,1,0,0,0.0,19,4.947368421052632,0,1,0.0526315789473684,False,0.0461160587847325,,Low,False,False
692838349036326912,non-rumor,70,0,0,0,0.0428571428571428,13,4.461538461538462,0,4,0.0,False,0.1010649702217196,,Low,False,False
580320684305416192,unverified,116,1,0,0,0.0258620689655172,18,5.5,10,2,0.0555555555555555,True,0.2267257171715035,digit_count,Low,True,True
514057033419849728,true,94,0,0,0,0.0638297872340425,15,5.333333333333333,0,1,0.0,False,0.0246417507612644,,Low,False,False
693696168908423168,non-rumor,83,0,0,0,0.072289156626506,13,5.461538461538462,2,4,0.0,False,0.0989273501403098,,Low,False,False
550284252672450560,unverified,103,0,0,0,0.029126213592233,16,5.5,0,0,0.0,False,0.0679700744124447,,Low,False,False
407167258452971520,true,91,1,0,0,0.0659340659340659,15,5.133333333333334,0,0,0.0666666666666666,False,0.0517529465060799,,Low,False,False
509464457836511232,true,102,0,0,0,0.0,16,5.4375,1,5,0.0,False,0.1017521738605436,,Low,False,False
499612545909415938,unverified,139,2,0,0,0.0,21,5.666666666666667,1,4,0.0952380952380952,False,0.1356531886264122,,Low,False,False
692892472729415680,non-rumor,30,0,0,0,0.2,6,4.166666666666667,0,1,0.0,True,0.2266027855840556,upper_ratio,Low,False,True
