id,label,length,hashtags,mentions,urls,upper_ratio,word_count,avg_word_length,digit_count,punctuation_count,pvi,parent_id,timestamp,num_children,cascade_depth,time_diff,avg_time_gap,burstiness
731166399389962242,unverified,76,2,1,0,0.039473684210526314,10,6.7,4,0,0.3,,0,3,1,0.0,0.0,0.0
714598641827246081,unverified,92,0,1,0,0.03260869565217391,13,6.153846153846154,0,0,0.07692307692307693,,1,1,1,1.0,0.0,0.0
691809004356501505,non-rumor,93,0,1,0,0.06451612903225806,16,4.875,0,0,0.0625,,2,1,1,1.0,0.0,0.0
693204708933160960,non-rumor,100,0,0,0,0.06,16,5.3125,0,1,0.0,,3,0,2,1.0,0.0,0.0
551099691702956032,true,98,1,0,0,0.030612244897959183,16,5.1875,0,1,0.0625,,4,1,1,1.0,0.8,0.4472135954999579
767223774072676354,non-rumor,95,0,0,0,0.06315789473684211,18,4.333333333333333,3,2,0.0,,5,0,1,1.0,1.0,0.0
715515982584881152,unverified,77,0,0,0,0.07792207792207792,16,3.875,2,0,0.0,,6,0,1,1.0,1.0,0.0
514106273852174337,true,88,0,0,0,0.06818181818181818,15,4.933333333333334,0,0,0.0,,7,0,1,1.0,1.0,0.0
500319801344929795,unverified,77,1,1,0,0.07792207792207792,13,5.0,0,1,0.15384615384615385,,8,2,1,1.0,1.0,0.0
495366618818830336,false,67,1,0,0,0.0,11,5.181818181818182,0,2,0.09090909090909091,,9,1,1,1.0,1.0,0.0
532206910796468224,false,81,0,0,0,0.07407407407407407,13,5.3076923076923075,0,0,0.0,,10,0,1,1.0,1.0,0.0
560187970389819392,false,89,1,1,0,0.06741573033707865,14,5.428571428571429,1,0,0.14285714285714285,,11,2,1,1.0,1.0,0.0
531568534066057217,false,95,0,1,0,0.031578947368421054,13,6.384615384615385,0,2,0.07692307692307693,,12,1,1,1.0,1.0,0.0
489829414704648192,false,101,1,0,0,0.0594059405940594,8,11.75,4,2,0.125,,13,1,2,1.0,1.0,0.0
524925730053181440,unverified,140,1,0,0,0.0,22,5.409090909090909,0,3,0.045454545454545456,,14,1,2,1.0,1.0,0.0
766989078294306816,non-rumor,90,0,0,0,0.06666666666666667,14,5.5,0,0,0.0,,15,0,1,1.0,1.0,0.0
499530130487017472,unverified,118,1,0,0,0.025423728813559324,21,4.666666666666667,0,1,0.047619047619047616,,16,1,2,1.0,1.0,0.0
520284654755381249,false,70,0,0,0,0.04285714285714286,13,4.461538461538462,0,1,0.0,,17,0,1,1.0,1.0,0.0
767515401831997440,non-rumor,98,1,0,0,0.061224489795918366,16,5.1875,4,1,0.0625,,18,1,1,1.0,1.0,0.0
565999191982616577,true,121,1,0,0,0.024793388429752067,22,4.545454545454546,0,0,0.045454545454545456,,19,1,2,1.0,1.0,0.0
554343513887105024,false,116,0,0,0,0.02586206896551724,18,5.5,2,0,0.0,,20,0,2,1.0,1.0,0.0
767715489485205505,non-rumor,92,0,0,0,0.06521739130434782,15,5.2,3,1,0.0,,21,0,1,1.0,1.0,0.0
553467311261503488,unverified,113,0,0,0,0.0,22,4.181818181818182,1,0,0.0,,22,0,2,1.0,1.0,0.0
553960736964476928,false,113,1,0,0,0.02654867256637168,16,6.125,0,3,0.0625,,23,1,2,1.0,1.0,0.0
500303431928922113,unverified,140,1,0,0,0.0,18,6.833333333333333,0,2,0.05555555555555555,,24,1,2,1.0,1.0,0.0
538900739880665088,unverified,102,0,0,0,0.058823529411764705,19,4.421052631578948,2,0,0.0,,25,0,2,1.0,1.0,0.0
516420964834611201,unverified,90,3,0,0,0.03333333333333333,12,6.583333333333333,0,2,0.25,,26,3,1,1.0,1.0,0.0
80080680482123777,false,59,0,0,0,0.05084745762711865,10,5.0,0,1,0.0,,27,0,1,1.0,1.0,0.0
687945926774800385,non-rumor,116,0,0,0,0.02586206896551724,22,4.318181818181818,0,1,0.0,,28,0,2,1.0,1.0,0.0
436089462326849536,false,65,0,0,0,0.046153846153846156,11,5.0,0,0,0.0,,29,0,1,1.0,1.0,0.0
568589712644026368,false,64,1,0,0,0.046875,8,7.125,0,2,0.125,,30,1,1,1.0,1.0,0.0
767360696761905153,non-rumor,100,2,1,0,0.03,16,5.3125,0,1,0.1875,,31,3,2,1.0,1.0,0.0
407231591191035904,true,43,0,0,0,0.0,8,4.5,0,3,0.0,,32,0,0,1.0,1.0,0.0
505369323922522113,false,35,0,0,0,0.08571428571428572,8,3.5,2,0,0.0,,33,0,0,1.0,1.0,0.0
576513463738109954,unverified,79,0,0,0,0.0759493670886076,16,4.0,0,0,0.0,,34,0,1,1.0,1.0,0.0
689214940679409664,non-rumor,46,1,0,0,0.0,8,4.875,2,0,0.125,,35,1,0,1.0,1.0,0.0
522782267215982592,unverified,121,1,1,0,0.024793388429752067,18,5.777777777777778,0,0,0.1111111111111111,,36,2,2,1.0,1.0,0.0
387233034350514176,false,136,1,0,0,0.0,26,4.269230769230769,0,3,0.038461538461538464,,37,1,2,1.0,1.0,0.0
693554344298467328,non-rumor,56,0,0,0,0.10714285714285714,12,3.75,0,0,0.0,,38,0,1,1.0,1.0,0.0
706665777332621314,unverified,116,1,1,0,0.0,16,6.3125,4,3,0.125,,39,2,2,1.0,1.0,0.0
531530591427391488,unverified,56,0,0,0,0.05357142857142857,9,5.333333333333333,0,0,0.0,,40,0,1,1.0,1.0,0.0
532199717594497024,false,64,0,0,0,0.09375,12,4.416666666666667,2,0,0.0,,41,0,1,1.0,1.0,0.0
503498696273965056,unverified,106,0,0,0,0.02830188679245283,19,4.631578947368421,3,3,0.0,,42,0,2,1.0,1.0,0.0
553184482241814530,unverified,112,1,0,0,0.0,19,4.947368421052632,0,1,0.05263157894736842,,43,1,2,1.0,1.0,0.0
692838349036326912,non-rumor,70,0,0,0,0.04285714285714286,13,4.461538461538462,0,4,0.0,,44,0,1,1.0,1.0,0.0
580320684305416192,unverified,116,1,0,0,0.02586206896551724,18,5.5,10,2,0.05555555555555555,,45,1,2,1.0,1.0,0.0
514057033419849728,true,94,0,0,0,0.06382978723404255,15,5.333333333333333,0,1,0.0,,46,0,1,1.0,1.0,0.0
693696168908423168,non-rumor,83,0,0,0,0.07228915662650602,13,5.461538461538462,2,4,0.0,,47,0,1,1.0,1.0,0.0
550284252672450560,unverified,103,0,0,0,0.02912621359223301,16,5.5,0,0,0.0,,48,0,2,1.0,1.0,0.0
407167258452971520,true,91,1,0,0,0.06593406593406594,15,5.133333333333334,0,0,0.06666666666666667,,49,1,1,1.0,1.0,0.0
509464457836511232,true,102,0,0,0,0.0,16,5.4375,1,5,0.0,,50,0,2,1.0,1.0,0.0
499612545909415938,unverified,139,2,0,0,0.0,21,5.666666666666667,1,4,0.09523809523809523,,51,2,2,1.0,1.0,0.0
692892472729415680,non-rumor,30,0,0,0,0.2,6,4.166666666666667,0,1,0.0,,52,0,0,1.0,1.0,0.0
527131140721623040,unverified,89,2,0,0,0.06741573033707865,12,6.5,0,2,0.16666666666666666,,53,2,1,1.0,1.0,0.0
726043971911213057,unverified,73,0,0,0,0.0410958904109589,12,5.166666666666667,3,2,0.0,,54,0,1,1.0,1.0,0.0
730939370765754368,unverified,81,1,0,0,0.07407407407407407,14,4.857142857142857,4,1,0.07142857142857142,,55,1,1,1.0,1.0,0.0
693806234026188801,non-rumor,75,0,0,0,0.04,13,4.846153846153846,0,0,0.0,,56,0,1,1.0,1.0,0.0
692082337333534720,non-rumor,93,0,1,0,0.06451612903225806,14,5.714285714285714,0,1,0.07142857142857142,,57,1,1,1.0,1.0,0.0
551117430345711616,false,96,0,0,0,0.0625,14,5.928571428571429,0,0,0.0,,58,0,1,1.0,1.0,0.0
407161635439013888,true,90,0,0,0,0.0,16,4.6875,0,4,0.0,,59,0,1,1.0,1.0,0.0
561280944045576192,false,102,1,2,0,0.058823529411764705,14,6.357142857142857,0,0,0.21428571428571427,,60,3,2,1.0,1.0,0.0
723365789378584578,unverified,83,3,0,0,0.03614457831325301,12,6.0,0,2,0.25,,61,3,1,1.0,1.0,0.0
532106726539939841,false,56,0,0,0,0.10714285714285714,10,4.7,0,1,0.0,,62,0,1,1.0,1.0,0.0
689719109785907200,non-rumor,118,1,0,0,0.025423728813559324,19,5.2631578947368425,2,0,0.05263157894736842,,63,1,2,1.0,1.0,0.0
561952533942661120,false,102,1,2,0,0.058823529411764705,14,6.357142857142857,0,0,0.21428571428571427,,64,3,2,1.0,1.0,0.0
550038665653542913,false,97,0,0,0,0.061855670103092786,17,4.764705882352941,0,0,0.0,,65,0,1,1.0,1.0,0.0
519348106836860929,true,88,0,0,0,0.06818181818181818,15,4.933333333333334,4,3,0.0,,66,0,1,1.0,1.0,0.0
387007120689737729,false,125,0,0,0,0.0,22,4.7272727272727275,0,2,0.0,,67,0,2,1.0,1.0,0.0
525327108520673281,unverified,100,0,0,0,0.06,15,5.733333333333333,0,0,0.0,,68,0,2,1.0,1.0,0.0
450341615979069440,false,93,0,2,0,0.03225806451612903,12,6.75,0,5,0.16666666666666666,,69,2,1,1.0,1.0,0.0
387281927427727360,false,86,1,0,0,0.06976744186046512,16,4.4375,0,1,0.0625,,70,1,1,1.0,1.0,0.0
553503184174710784,unverified,100,1,0,0,0.06,16,5.3125,0,0,0.0625,,71,1,2,1.0,1.0,0.0
524312881823637504,true,101,0,0,0,0.0,7,13.571428571428571,0,1,0.0,,72,0,2,1.0,1.0,0.0
510906049549705216,true,96,0,0,0,0.03125,15,5.466666666666667,0,1,0.0,,73,0,1,1.0,1.0,0.0
550131732805328896,unverified,106,1,0,0,0.02830188679245283,15,6.133333333333334,0,0,0.06666666666666667,,74,1,2,1.0,1.0,0.0
693122199536934912,non-rumor,98,0,0,0,0.061224489795918366,17,4.823529411764706,0,1,0.0,,75,0,1,1.0,1.0,0.0
524185876931162112,true,75,0,1,0,0.08,10,6.6,0,0,0.1,,76,1,1,1.0,1.0,0.0
532284428542681088,false,74,0,0,0,0.08108108108108109,13,4.769230769230769,0,1,0.0,,77,0,1,1.0,1.0,0.0
545271117355958272,true,78,0,0,0,0.07692307692307693,14,4.642857142857143,0,0,0.0,,78,0,1,1.0,1.0,0.0
516545908813475841,unverified,91,2,0,0,0.06593406593406594,14,5.571428571428571,0,1,0.14285714285714285,,79,2,1,1.0,1.0,0.0
407254590363426816,true,94,0,0,0,0.031914893617021274,15,5.333333333333333,1,0,0.0,,80,0,1,1.0,1.0,0.0
524941504796962816,true,100,0,0,0,0.06,15,5.733333333333333,0,1,0.0,,81,0,2,1.0,1.0,0.0
549927969032916993,unverified,87,0,0,0,0.06896551724137931,15,4.866666666666666,2,0,0.0,,82,0,1,1.0,1.0,0.0
692046121250586624,non-rumor,94,0,0,0,0.06382978723404255,17,4.588235294117647,4,2,0.0,,83,0,1,1.0,1.0,0.0
689650617464311813,non-rumor,77,0,0,0,0.07792207792207792,12,5.5,2,0,0.0,,84,0,1,1.0,1.0,0.0
435998882250899456,false,138,0,0,0,0.0,26,4.346153846153846,0,0,0.0,,85,0,2,1.0,1.0,0.0
544523550519218176,unverified,108,0,0,0,0.027777777777777776,16,5.8125,0,0,0.0,,86,0,2,1.0,1.0,0.0
714531423273746432,unverified,83,0,1,0,0.07228915662650602,11,6.636363636363637,0,0,0.09090909090909091,,87,1,1,1.0,1.0,0.0
